Invigilator_ID,Invigilator_Name,Date,Time,Availability_Status
1,Mark Williams,2024-05-20,AM,available
1,Mark Williams,2024-05-20,PM,available
1,Mark Williams,2024-05-21,AM,available
1,Mark Williams,2024-05-21,PM,unavailable
1,Mark Williams,2024-05-22,AM,available
1,Mark Williams,2024-05-22,PM,unavailable
1,Mark Williams,2024-05-23,AM,unavailable
1,Mark Williams,2024-05-23,PM,available
1,Mark Williams,2024-05-24,AM,available
1,Mark Williams,2024-05-24,PM,available
1,Mark Williams,2024-05-29,AM,unavailable
1,Mark Williams,2024-05-29,PM,unavailable
1,Mark Williams,2024-05-30,AM,available
1,Mark Williams,2024-05-30,PM,available
1,Mark Williams,2024-05-31,AM,available
1,Mark Williams,2024-05-31,PM,unavailable
1,Mark Williams,2024-06-03,AM,available
1,Mark Williams,2024-06-03,PM,available
1,Mark Williams,2024-06-04,AM,available
1,Mark Williams,2024-06-04,PM,available
1,Mark Williams,2024-06-05,AM,unavailable
1,Mark Williams,2024-06-05,PM,available
1,Mark Williams,2024-06-06,AM,available
1,Mark Williams,2024-06-06,PM,available
1,Mark Williams,2024-06-07,AM,available
1,Mark Williams,2024-06-07,PM,available
2,Michele Velasquez,2024-05-20,AM,available
2,Michele Velasquez,2024-05-20,PM,unavailable
2,Michele Velasquez,2024-05-21,AM,available
2,Michele Velasquez,2024-05-21,PM,available
2,Michele Velasquez,2024-05-22,AM,available
2,Michele Velasquez,2024-05-22,PM,available
2,Michele Velasquez,2024-05-23,AM,unavailable
2,Michele Velasquez,2024-05-23,PM,available
2,Michele Velasquez,2024-05-24,AM,unavailable
2,Michele Velasquez,2024-05-24,PM,available
2,Michele Velasquez,2024-05-29,AM,available
2,Michele Velasquez,2024-05-29,PM,available
2,Michele Velasquez,2024-05-30,AM,available
2,Michele Velasquez,2024-05-30,PM,available
2,Michele Velasquez,2024-05-31,AM,unavailable
2,Michele Velasquez,2024-05-31,PM,unavailable
2,Michele Velasquez,2024-06-03,AM,available
2,Michele Velasquez,2024-06-03,PM,available
2,Michele Velasquez,2024-06-04,AM,unavailable
2,Michele Velasquez,2024-06-04,PM,unavailable
2,Michele Velasquez,2024-06-05,AM,available
2,Michele Velasquez,2024-06-05,PM,available
2,Michele Velasquez,2024-06-06,AM,unavailable
2,Michele Velasquez,2024-06-06,PM,available
2,Michele Velasquez,2024-06-07,AM,available
2,Michele Velasquez,2024-06-07,PM,available
3,Chelsey Hunter,2024-05-20,AM,available
3,Chelsey Hunter,2024-05-20,PM,available
3,Chelsey Hunter,2024-05-21,AM,available
3,Chelsey Hunter,2024-05-21,PM,available
3,Chelsey Hunter,2024-05-22,AM,available
3,Chelsey Hunter,2024-05-22,PM,unavailable
3,Chelsey Hunter,2024-05-23,AM,available
3,Chelsey Hunter,2024-05-23,PM,available
3,Chelsey Hunter,2024-05-24,AM,available
3,Chelsey Hunter,2024-05-24,PM,unavailable
3,Chelsey Hunter,2024-05-29,AM,available
3,Chelsey Hunter,2024-05-29,PM,available
3,Chelsey Hunter,2024-05-30,AM,available
3,Chelsey Hunter,2024-05-30,PM,available
3,Chelsey Hunter,2024-05-31,AM,available
3,Chelsey Hunter,2024-05-31,PM,unavailable
3,Chelsey Hunter,2024-06-03,AM,available
3,Chelsey Hunter,2024-06-03,PM,unavailable
3,Chelsey Hunter,2024-06-04,AM,unavailable
3,Chelsey Hunter,2024-06-04,PM,available
3,Chelsey Hunter,2024-06-05,AM,available
3,Chelsey Hunter,2024-06-05,PM,unavailable
3,Chelsey Hunter,2024-06-06,AM,unavailable
3,Chelsey Hunter,2024-06-06,PM,unavailable
3,Chelsey Hunter,2024-06-07,AM,unavailable
3,Chelsey Hunter,2024-06-07,PM,available
4,Willie Baker,2024-05-20,AM,unavailable
4,Willie Baker,2024-05-20,PM,available
4,Willie Baker,2024-05-21,AM,available
4,Willie Baker,2024-05-21,PM,unavailable
4,Willie Baker,2024-05-22,AM,unavailable
4,Willie Baker,2024-05-22,PM,available
4,Willie Baker,2024-05-23,AM,available
4,Willie Baker,2024-05-23,PM,unavailable
4,Willie Baker,2024-05-24,AM,unavailable
4,Willie Baker,2024-05-24,PM,available
4,Willie Baker,2024-05-29,AM,unavailable
4,Willie Baker,2024-05-29,PM,unavailable
4,Willie Baker,2024-05-30,AM,unavailable
4,Willie Baker,2024-05-30,PM,available
4,Willie Baker,2024-05-31,AM,available
4,Willie Baker,2024-05-31,PM,available
4,Willie Baker,2024-06-03,AM,available
4,Willie Baker,2024-06-03,PM,available
4,Willie Baker,2024-06-04,AM,available
4,Willie Baker,2024-06-04,PM,unavailable
4,Willie Baker,2024-06-05,AM,available
4,Willie Baker,2024-06-05,PM,unavailable
4,Willie Baker,2024-06-06,AM,unavailable
4,Willie Baker,2024-06-06,PM,available
4,Willie Baker,2024-06-07,AM,unavailable
4,Willie Baker,2024-06-07,PM,unavailable
5,Benjamin Shepard,2024-05-20,AM,unavailable
5,Benjamin Shepard,2024-05-20,PM,unavailable
5,Benjamin Shepard,2024-05-21,AM,unavailable
5,Benjamin Shepard,2024-05-21,PM,available
5,Benjamin Shepard,2024-05-22,AM,available
5,Benjamin Shepard,2024-05-22,PM,available
5,Benjamin Shepard,2024-05-23,AM,unavailable
5,Benjamin Shepard,2024-05-23,PM,available
5,Benjamin Shepard,2024-05-24,AM,available
5,Benjamin Shepard,2024-05-24,PM,unavailable
5,Benjamin Shepard,2024-05-29,AM,unavailable
5,Benjamin Shepard,2024-05-29,PM,available
5,Benjamin Shepard,2024-05-30,AM,available
5,Benjamin Shepard,2024-05-30,PM,unavailable
5,Benjamin Shepard,2024-05-31,AM,available
5,Benjamin Shepard,2024-05-31,PM,available
5,Benjamin Shepard,2024-06-03,AM,unavailable
5,Benjamin Shepard,2024-06-03,PM,available
5,Benjamin Shepard,2024-06-04,AM,available
5,Benjamin Shepard,2024-06-04,PM,available
5,Benjamin Shepard,2024-06-05,AM,available
5,Benjamin Shepard,2024-06-05,PM,unavailable
