Date,Time,Venue,Capacity,Total Invigilators,Lead Invigilator,Special_Requirement,Special Skill Invigilators,Normal Invigilators,Backup Invigilators
2024-05-20,AM,Chemical and Process Engineering Cluster (GR.06),1,1,Mark Williams,no,[],[],['Michele Velasquez']
2024-05-20,AM,Chemistry West Block SR (1.65),7,2,Michele Velasquez,yes,['Elizabeth Welch'],[],['Chelsey Hunter']
2024-05-20,AM,Cohen Computer Cluster A&B (1.40),68,2,Matthew Hahn,no,[],['Caitlyn Matthews'],"['Mark Williams', 'Brandi Cooper', 'Glenda Martinez DDS']"
2024-05-20,AM,Conference Gallery,90,3,Arthur Tucker,no,[],"['Valerie Jackson', 'Stacy Osborne']","['Christopher Levine', 'Matthew Hahn', 'Eric Serrano']"
2024-05-20,AM,EC Stoner Cluster (6.61),13,1,Daniel Sherman,no,[],[],['Elizabeth Fox']
2024-05-20,AM,EC Stoner Cluster (6.68),42,1,Nicholas Hernandez,no,[],[],"['Arthur Tucker', 'Jennifer Wilson', 'Matthew Evans']"
2024-05-20,AM,Emmanuel Centre SR 01,1,1,Jessica Ward,yes,[],[],['Michele White']
2024-05-20,AM,Emmanuel Centre SR 02,1,1,Jacob Davis,yes,[],[],['William Sanders']
2024-05-20,AM,Emmanuel Centre SR 04,1,1,Rebecca Wheeler,yes,[],[],['Jessica Ward']
2024-05-20,AM,Emmanuel Centre SR 06,1,1,Alicia Brown,yes,[],[],['Jacob Davis']
2024-05-20,AM,Emmanuel Centre SR 07,1,1,Melissa Jacobs,yes,[],[],['Anthony Powell']
2024-05-20,AM,English SR 1 (LG.04) House 10 Cavendish Road,6,2,William Booker,yes,['Joe Gillespie'],[],['Paula Johnson']
2024-05-20,AM,English SR 2 (LG.06) House 10 Cavendish Road,2,1,Anthony Powell,yes,[],[],['Alicia Brown']
2024-05-20,AM,English SR 3 (LG.01) House 10 Cavendish Road,4,1,Richard Brock,yes,[],[],['Alisha Gray']
2024-05-20,AM,English SR 4 (LG.02) House 10 Cavendish Road,4,1,Paula Johnson,yes,[],[],['Richard Brock']
2024-05-20,AM,English SR 7 (LG.05) House 5 Cavendish Road,3,1,William Hoffman,yes,[],[],['Amy Stephens']
2024-05-20,AM,Great Hall,155,5,Tammy Thompson,no,[],"['Christopher Thompson', 'David Munoz', 'Rebecca Warren', 'Alyssa Young']","['Jennifer Adams', 'Hannah Ball', 'Dr. Kelsey Medina MD']"
2024-05-20,AM,Irene Manton South Cluster (7.90),1,1,Jennifer Adams,no,[],[],['Tammy Thompson']
2024-05-20,AM,Michael Sadler SR (1.19),1,1,Stephanie Craig,yes,[],[],['Tracy Young']
2024-05-20,AM,Michael Sadler SR (1.37),1,1,Raymond Jensen,yes,[],[],['Taylor Hernandez']
2024-05-20,AM,Michael Sadler SR (2.01),1,1,Alisha Gray,yes,[],[],['Melissa Jacobs']
2024-05-20,AM,Michael Sadler SR (3.40),1,1,Nathan Carroll,yes,[],[],['Stephanie Craig']
2024-05-20,AM,Michael Sadler SR (B.49),3,1,Mr. Cameron Knight,yes,[],[],['Linda Moreno']
2024-05-20,AM,Michael Sadler World Cinema Rm (B.36),7,2,Matthew Jones,yes,['Amy Stephens'],[],['Caitlyn Matthews']
2024-05-20,AM,Newlyn SR (GR.01),69,2,Edward Yang,no,[],['Jennifer Hill'],"['Melissa Macias', 'Derek Day', 'Brandon Morales']"
2024-05-20,AM,Psychology Cluster (1.43),17,1,Melissa Macias,no,[],[],['Edward Yang']
2024-05-20,AM,Psychology Cluster (1.45),1,1,Marilyn Johnson,no,[],[],['Lisa Murphy']
